"catalogNumber","organismID","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","taxonRank","decimalLatitude","decimalLongitude","sex","eventDate","salinity","dryWeight","respirationRate","waterTemperature","standardMetabolicRate"
"12","B6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,4.368,0.0089784,17,3.029671296
"13","C1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,1.273,9.29e-05,17,0.031348176
"14","C2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,3.006,0.000315792,17,0.10656085248
"15","C3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,5.435,0.000133,17,0.04487952
"16","C4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,2.265,0.000275544,17,0.09297956736
"17","C5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,2.783,6.5e-05,17,0.0219336
"18","C6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,0.824,0.0012384,17,0.417885696
"19","A1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,1.9,0.002188872,17,0.73861296768
"20","A2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,1.874,0.00021672,17,0.0731299968
"21","A3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,3.546,0.000566568,17,0.19118270592
"22","A4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,1.313,0.000671832,17,0.22670299008
"23","A5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,2.469,7.74e-05,17,0.026117856
"24","A6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,3.069,0.002681136,17,0.90472253184
"25","B1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,3.74,0.001126944,17,0.38027598336
"26","B2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,0.578,0.002380824,17,0.80338525056
"27","B3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,2.806,0.001464408,17,0.49414983552
"28","B4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,1.852,0.000953568,17,0.32177198592
"29","B5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,3.806,0.000285,17,0.0961704
"30","B6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,4.368,0.002312712,17,0.78040153728
"31","C1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,1.273,0.000777096,17,0.26222327424
"32","C2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,3.006,0.000254,17,0.08570976
"33","C3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,5.435,0.001712088,17,0.57772697472
"34","C4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,2.265,0.001405584,17,0.47430026496
"35","C5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",4,2.783,0.000257,17,0.08672208
"36","C6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",4,0.824,0.000798768,17,0.26953627392
"37","A1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,1.9,0.0017028,17,0.574592832
"38","A2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,1.874,0.005662584,17,1.91078234496
"39","A3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,3.546,0.00269352,17,0.9089013888
"40","A4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,1.313,0.0013158,17,0.444003552
"41","A5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,2.469,0.000303408,17,0.10238199552
"42","A6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,3.069,0.002712096,17,0.91516967424
"43","B1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,3.74,0.000105,17,0.0354312
"44","B2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,0.578,0.000455112,17,0.15357299328
"45","B3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,2.806,0.000276,17,0.09313344
"46","B4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,1.852,0.001721376,17,0.58086111744
"47","B5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,3.806,0.000136,17,0.04589184
"48","B6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,4.368,0.00022,17,0.0742368
"49","C1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,1.273,0.000160992,17,0.05432514048
"50","C2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,3.006,0.000513936,17,0.17342256384
"51","C3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,5.435,0.005702832,17,1.92436363008
"52","C4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,2.265,0.001774008,17,0.59862125952
"53","C5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",6,2.783,0.000207,17,0.06985008
"54","C6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",6,0.824,8.6688e-05,17,0.02925199872
"55","D1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-22",2,2.491,0.001721376,21,0.58086111744
"56","D2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,2.347,0.001015488,21,0.34266627072
"57","D3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-22",2,3.6,0.00517032,21,1.7446727808
"58","D4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,0.75,0.00021672,21,0.0731299968
"59","D5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-22",2,1.805,0.000105264,21,0.03552028416
"60","D6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-22",2,1.11,0.000860688,21,0.29043055872
"61","E2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-22",2,2.375,0.000226008,21,0.07626413952
"62","E3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,3.312,0.000204336,21,0.06895113984
"63","E4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-22",2,2.438,0.004337496,21,1.46364465024
"64","E5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-22",2,3.48,0.006157944,21,2.07793662336
"65","E6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,3.616,0.00024768,21,0.0835771392
"66","F1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,4.078,0.001798776,21,0.60697897344
"67","F2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,3,0.001628496,21,0.54951969024
"68","F3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,4.915,0.002919528,21,0.98516552832
"69","F4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,4.088,0.001727568,21,0.58295054592
"70","F5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-22",2,2.69,0.017548128,21,5.92144031232
"71","F6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-22",2,2.232,0.000699696,21,0.23610541824
"72","D1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",4,2.491,0.006851448,21,2.31195261312
"73","D2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,2.347,0.009105336,21,3.07250457984
"74","D3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",4,3.6,0.007962912,21,2.68700502528
"75","D4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,0.75,0.000482976,21,0.16297542144
"76","D5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",4,1.805,0.006820488,21,2.30150547072
"77","D6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",4,1.11,0.000517032,21,0.17446727808
"78","E1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,0.609,0.000566568,21,0.19118270592
"79","E2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",4,2.375,0.000287928,21,0.09715842432
"80","E3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,3.312,0.007037208,21,2.37463546752
"81","E4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",4,2.438,0.000188856,21,0.06372756864
"82","E5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",4,3.48,0.0072756,21,2.455078464
"83","E6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,3.616,0.002876184,21,0.97053952896
"84","F1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,4.078,0.00024768,21,0.0835771392
"85","F2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,3,0.000445824,21,0.15043885056
"86","F3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,4.915,0.002882376,21,0.97262895744
"87","F4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,4.088,0.002699712,21,0.91099081728
"88","F5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-23",4,2.69,0.001095984,21,0.36982884096
"89","F6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-23",4,2.232,0.002108376,21,0.71145039744
"90","D1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",6,2.491,0.005885496,21,1.98600177024
"91","D2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,2.347,0.003024792,21,1.02068581248
"92","D3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",6,3.6,0.000346752,21,0.11700799488
"93","D4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,0.75,0.000337464,21,0.11387385216
"94","D5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",6,1.805,0.000529416,21,0.17864613504
"95","D6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",6,1.11,0.00075852,21,0.2559549888
"96","E1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,0.609,0.001157904,21,0.39072312576
"97","E2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",6,2.375,0.000281736,21,0.09506899584
"98","E3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,3.312,0.0003096,21,0.104471424
"99","E4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",6,2.438,0.00419508,21,1.4155877952
"100","E5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-24",6,3.48,0.001123848,21,0.37923126912
"101","E6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,3.616,0.00074304,21,0.2507314176
"102","F1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,4.078,0.000507744,21,0.17133313536
"103","F2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,3,0.00181116,21,0.6111578304
"104","F3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,4.915,0.00430344,21,1.4521527936
"105","F4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,4.088,0.000250776,21,0.08462185344
"106","F5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-24",6,2.69,0.000334368,21,0.11282913792
"107","A1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-12",2,3.733,0.001643976,25,0.55474326144
"108","A2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,3.834,0.002628504,25,0.88696238976
"109","A3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-12",2,4.468,0.00266256,25,0.8984542464
"110","A4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,3.175,0.003102192,25,1.04680366848
"111","A5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,6.5,0.01798776,25,6.0697897344
"112","A6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-12",2,3.101,0.001061928,25,0.35833698432
"113","B1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,2.517,0.001405584,25,0.47430026496
"114","B2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,3.48,0.004030992,25,1.36021794048
"115","B3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,3.108,0.00086688,25,0.2925199872
"116","B4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-12",2,3.429,0.002702808,25,0.91203553152
"117","B5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,6.666,0.00213624,25,0.7208528256
"118","B6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-12",2,4.33,0.003179592,25,1.07292152448
"119","C1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,4.277,0.00094428,25,0.3186378432
"120","C2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,3.342,0.00184212,25,0.6216049728
"121","C3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,1.644,0.002891664,25,0.97576310016
"122","C4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,1.074,0.002845224,25,0.96009238656
"123","C5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-12",2,2.25,0.001783296,25,0.60175540224
"124","C6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-12",2,2.58,0.000981432,25,0.33117441408
"125","A1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-13",4,3.733,0.00585144,25,1.9745099136
"126","A2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,3.834,0.009857664,25,3.32637014016
"127","A3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-13",4,4.468,0.008644032,25,2.91684215808
"128","A4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,3.175,7.1208e-05,25,0.02402842752
"129","A5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,6.5,0.00072756,25,0.2455078464
"130","A6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-13",4,3.101,0.002520144,25,0.85039739136
"131","B1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,2.517,0.000368424,25,0.12432099456
"132","B2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,3.48,0.000996912,25,0.33639798528
"133","B3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,3.108,0.000684216,25,0.23088184704
"134","B4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-13",4,3.429,0.0005418,25,0.182824992
"135","B5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,6.666,0.00253872,25,0.8566656768
"136","B6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-13",4,4.33,0.002176488,25,0.73443411072
