catologNumber;country;locationID;decimalLatitude;decimalLongitude;eventDate;depth;samplingProtocol;samplingEffort;sampleSizeValue;sampleSizeUnit;taxonID;scientificName;acceptedNameUsage;acceptedNameUsageID;individualCount;density;biomass;biomassPerUnitArea
11.00;Italy;24;43.94301666;12.99036668;2008-10-23;11.25;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_14;25 min haul duration;0.029954959;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;37493;1251645.88;249.85;8340.7
12.00;Italy;25;43.97364165;13.067025;2008-10-23;13.25;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_15;24 min haul duration;0.028777439;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;6682;232195.78;39.05;1357.06
13.00;Italy;27;43.76422501;13.25191667;2008-10-23;13.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_16;22 min haul duration;0.02593416;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;6960;268371.91;76.1;2934.2
14.00;Italy;28;43.79069999;13.37176666;2008-10-23;16.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_17;31 min haul duration;0.03640978;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;52;1428.19;0.58;15.86
15.00;Italy;31;43.57990001;13.60746667;2008-10-27;14.85;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_18;31 min haul duration;0.03572768;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;300;8396.85;0.56;15.57
16;Italy;33;43.33374166;13.742125;2008-10-20;20.60;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_19;20 min haul duration;0.02327038;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
17;Italy;34;43.33639166;13.90425002;2008-10-20;20.60;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_20;31 min haul duration;0.03572768;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
18;Italy;37;43.12926667;13.905675;2008-10-21;20.60;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_21;31 min haul duration;0.038032457;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
19;Italy;43;45.37731667;12.38722499;2008-11-03;20.60;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_22;22 min haul duration;0.025352579;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
20;Italy;44;45.46295832;12.70004164;2008-11-03;20.75;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_23;30 min haul duration;0.0345717;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
21;Italy;46;44.90868333;12.61919168;2008-11-02;18.35;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_24;30 min haul duration;0.0345717;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;22;636.36;0.13;3.78
22.00;Italy;47;44.59869165;12.41416666;2008-10-26;11.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_25;13 min haul duration;0.01469028;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;48930;3330773.75;275.31;18741.15
23;Italy;48;44.066675;12.60445833;2008-10-24;20.75;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_26;25 min haul duration;0.030543718;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
24;Italy;49;43.57828334;13.76795835;2008-10-20;20.40;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_27;32 min haul duration;0.036302079;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;2;55.09;0.02;0.44
25;Italy;50;43.0569;14.01305833;2008-10-21;20.80;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_28;29 min haul duration;0.033422899;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
26;Italy;55;45.38503334;12.45728334;2008-11-03;20.80;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_29;31 min haul duration;0.03572768;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
27;NA;56;45.33060832;12.88990002;2008-11-04;20.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_30;16 min haul duration;0.018438239;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
28;Italy;57;45.07933333;12.7261;2008-11-02;20.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_31;30 min haul duration;0.0345717;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
29.00;Italy;63;44.20818334;12.59896666;2008-10-24;11.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_32;8 min haul duration;0.020735839;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;46851;2259421.5;115.97;5592.56
30.00;Italy;64;44.20163333;12.55260832;2008-10-24;10.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_33;27 min haul duration;0.032841317;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;61578;1875016.13;137.62;4190.38
31.00;Italy;65;44.078075;12.75732498;2008-10-24;10.80;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_34;30 min haul duration;0.0345717;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;72004;2082744;416.67;12052.34
32.00;Italy;66;43.59785;13.68446665;2008-10-27;13.65;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_35;31 min haul duration;0.03572768;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;4111;115064.84;29.39;822.7
33.00;Italy;68;42.86325833;13.96815834;2008-10-21;15.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_36;18 min haul duration;0.021324599;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;187;8769.21;1.27;59.63
34;Italy;70;42.58307501;14.23095;2008-10-21;19.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_37;29 min haul duration;0.034578878;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;10;289.19;0.1;2.92
35;Italy;71;42.25754166;14.58665835;2008-10-21;20.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_38;21 min haul duration;0.02287548;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
36;Italy;73;42.09605833;14.87953332;2008-10-22;20.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_39;31 min haul duration;0.03640978;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
37;Italy;74;41.99645833;15.05529167;2008-10-22;20.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_40;29 min haul duration;0.033422899;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
38;Italy;76;41.99574169;15.66085831;2008-10-22;20.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_41;31 min haul duration;0.03572768;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
39;NA;6;45.25585;12.87547916;2008-11-04;21.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_42;16 min haul duration;0.018790059;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
40;NA;9;45.00694166;12.92854166;2008-10-26;21.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_43;31 min haul duration;0.03572768;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
41;NA;10;45.09945834;13.25025;2008-11-06;21.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_44;32 min haul duration;0.036876477;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
42;NA;13;44.60818332;12.73935833;2008-10-25;21.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_45;31 min haul duration;0.036302079;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
43;NA;14;44.73999166;13.08565833;2008-10-26;21.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_46;32 min haul duration;0.036165658;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
44;NA;18;44.40078333;12.84240834;2008-10-25;21.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_47;32 min haul duration;0.036876477;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
45;NA;19;44.45839167;13.16165001;2008-10-26;21.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_48;32 min haul duration;0.036165658;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
46;Italy;29;43.73704999;13.607925;2008-10-23;21.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_49;30 min haul duration;0.032841317;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
47;NA;51;45.332875;13.06869166;2008-11-04;21.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_50;20 min haul duration;0.023047799;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
48;NA;53;44.55649999;13.55434167;2008-11-07;21.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_51;17 min haul duration;0.018653639;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
49;NA;54;44.23999166;12.96583331;2008-10-25;21.10;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_52;32 min haul duration;0.036876477;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
50;NA;58;45.00173334;13.24308333;2008-11-06;21.10;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_53;31 min haul duration;0.035153281;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
51;NA;59;44.70234998;12.76808335;2008-10-25;21.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_54;31 min haul duration;0.03640978;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
52;NA;60;44.67460833;13.48136667;2008-11-06;21.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_55;16 min haul duration;0.018438239;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
53;NA;61;44.44905;12.61378333;2008-10-25;21.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_56;31 min haul duration;0.035153281;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
54;NA;62;44.45574166;12.73584998;2008-10-25;21.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_57;30 min haul duration;0.035153281;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
55;Italy;67;43.34198333;13.98144999;2008-10-20;21.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_58;33 min haul duration;0.038032457;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
56;NA;22;44.40116666;13.65633332;2008-11-07;21.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_59;15 min haul duration;0.017289439;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
57;NA;23;44.331975;14.038775;2008-11-07;21.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_60;16 min haul duration;0.0175192;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
58;NA;26;44.03641667;13.33275;2008-10-23;21.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_61;31 min haul duration;0.0350384;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
59;NA;30;43.96748333;13.99643335;2008-10-27;21.25;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_62;32 min haul duration;0.036876477;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
60;Italy;32;44.02669167;14.48769166;2008-11-07;21.25;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_63;34 min haul duration;0.037867319;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
61;NA;35;43.44784168;14.20715;2008-10-20;21.25;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_64;35 min haul duration;0.040337238;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
62;Italy;36;43.66895835;14.83473333;2008-11-07;21.25;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_65;33 min haul duration;0.037300099;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
63;NA;38;43.37058333;14.1268;2008-10-20;21.30;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_66;36 min haul duration;0.04148604;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
64;Italy;69;42.64914166;14.25374167;2008-10-21;21.30;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_67;34 min haul duration;0.039181259;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
65;Italy;72;42.26279999;14.994775;2008-10-22;21.30;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_68;30 min haul duration;0.0345717;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
66;Italy;75;42.039225;15.45325832;2008-10-22;21.30;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_69;32 min haul duration;0.038025279;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
67;Italy;31;43.57972501;13.60606667;2009-11-18;21.35;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_70;33 min haul duration;0.0375873;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
